gene_name,cell_type,origin
Fbln5,artery,heart
Stmn2,artery,heart
8430408G22Rik,artery,heart
Glul,artery,heart
Fos,artery,heart
Id1,artery,heart
Hey1,artery,heart
Sox17,artery,heart
Gadd45g,artery,heart
Btg2,artery,heart
Ier2,artery,heart
Klf4,artery,heart
Alpl,artery,heart
Junb,artery,heart
Dusp1,artery,heart
Cyr61,artery,heart
Mecom,artery,heart
Hspa1a,artery,heart
Klf2,artery,heart
Jun,artery,heart
Cxcl12,capillary_arterial,heart
Rbp7,capillary_arterial,heart
Mgll,capillary_arterial,heart
Ly6c1,capillary_arterial,heart
Aqp7,capillary_arterial,heart
Btnl9,capillary_arterial,heart
Pdgfd,capillary_arterial,heart
Sema7a,capillary_arterial,heart
Clec2d,capillary_arterial,heart
Unc5b,capillary_arterial,heart
Tpst1,capillary_arterial,heart
Plat,capillary_arterial,heart
Magix,capillary_arterial,heart
Plscr2,capillary_arterial,heart
Fkbp3,capillary_arterial,heart
Esm1,capillary_arterial,heart
Mcf2l,capillary_arterial,heart
Scgb3a1,capillary_arterial,heart
Slc26a10,capillary_arterial,heart
Cables2,capillary_arterial,heart
Kdr,capillary,heart
Ssh2,capillary,heart
Endou,capillary,heart
Fam57b,capillary,heart
Kifc3,capillary,heart
Ntf3,capillary,heart
Tmem182,capillary,heart
Fam212b,capillary,heart
4430402I18Rik,capillary,heart
Coro2b,capillary,heart
Fam117b,capillary,heart
Lnx2,capillary,heart
3110062M04Rik,capillary,heart
Insig1,capillary,heart
Ebf3,capillary,heart
Slco2b1,capillary,heart
Map3k14,capillary,heart
AU020206,capillary,heart
Dgke,capillary,heart
2310040G24Rik,capillary,heart
Vcam1,capillary_venous,heart
Ier3,capillary_venous,heart
Pltp,capillary_venous,heart
Pi16,capillary_venous,heart
Fmo2,capillary_venous,heart
Fmo1,capillary_venous,heart
Calcrl,capillary_venous,heart
Emp1,capillary_venous,heart
AU021092,capillary_venous,heart
Bsg,capillary_venous,heart
Nfkbia,capillary_venous,heart
Eln,capillary_venous,heart
Bhlhe40,capillary_venous,heart
Icam1,capillary_venous,heart
Klk8,capillary_venous,heart
Socs3,capillary_venous,heart
Slfn2,capillary_venous,heart
2200002D01Rik,capillary_venous,heart
Rnd1,capillary_venous,heart
Emp2,capillary_venous,heart
Mgp,large_vein,heart
Cfh,large_vein,heart
Apoe,large_vein,heart
Cpe,large_vein,heart
Cytl1,large_vein,heart
Bgn,large_vein,heart
Plvap,large_vein,heart
Dcn,large_vein,heart
Ctsh,large_vein,heart
Rbp1,large_vein,heart
Npr3,large_vein,heart
Vwf,large_vein,heart
H19,large_vein,heart
Tm4sf1,large_vein,heart
Igfbp4,large_vein,heart
Fabp5,large_vein,heart
Tmem108,large_vein,heart
Id2,large_vein,heart
Cgnl1,large_vein,heart
Clu,large_vein,heart
Rgcc,interferon,heart
Lpl,interferon,heart
Isg15,interferon,heart
Car4,interferon,heart
Ifit3,interferon,heart
Rtp4,interferon,heart
Ifi203,interferon,heart
Rsad2,interferon,heart
Tcf15,interferon,heart
Ifit1,interferon,heart
Ly6a,interferon,heart
Mndal,interferon,heart
Fabp4,interferon,heart
Iigp1,interferon,heart
Aqp1,interferon,heart
Ifit3b,interferon,heart
AW112010,interferon,heart
Timp4,interferon,heart
Gpihbp1,interferon,heart
Gbp7,interferon,heart
Tmsb10,angiogenic,heart
Ift122,angiogenic,heart
Sparc,angiogenic,heart
Cldn5,angiogenic,heart
Col4a2,angiogenic,heart
Apln,angiogenic,heart
Vim,angiogenic,heart
Igfbp7,angiogenic,heart
Vwa1,angiogenic,heart
Mest,angiogenic,heart
Sparcl1,angiogenic,heart
Adm,angiogenic,heart
Aplnr,angiogenic,heart
Meox1,angiogenic,heart
Trp53i11,angiogenic,heart
Prnp,angiogenic,heart
Nrp2,angiogenic,heart
Mycn,angiogenic,heart
Tnfaip8l1,angiogenic,heart
Ccnd1,angiogenic,heart
Ccl21a,lymphatic,heart
Mmrn1,lymphatic,heart
Fgl2,lymphatic,heart
Prss23,lymphatic,heart
Thy1,lymphatic,heart
Igfbp5,lymphatic,heart
Fth1,lymphatic,heart
Lyve1,lymphatic,heart
Prelp,lymphatic,heart
Lcn2,lymphatic,heart
Fxyd6,lymphatic,heart
Nts,lymphatic,heart
S100a6,lymphatic,heart
Ifi27l2a,lymphatic,heart
Cd63,lymphatic,heart
Cd9,lymphatic,heart
Pard6g,lymphatic,heart
Cp,lymphatic,heart
Timp2,lymphatic,heart
Lrg1,lymphatic,heart
